Sample_ID,Normal_Rainfall_mm,Actual_Rainfall_mm,AIS_Predicted_Rainfall_mm,AIS_Absolute_Error_mm,AIS_Percentage_Error
1,586.74,591.48,595.273,3.793010253906232,0.6412744731700534
2,589.8755511022044,595.5378573402253,598.10266,2.564803792587213,0.43067015152354365
3,600.8499799599199,609.682815923451,608.4851,1.1977085015760167,0.19644780372592877
4,603.9855310621242,613.6698642733253,611.5018,2.168094253794038,0.35329977566380555
5,610.2566332665331,621.5136333145285,617.5352,3.9784160293722834,0.6401172582740324
6,614.9599599198397,627.2499738319827,622.0603,5.189671097607743,0.8273688822819888
7,621.2310621242485,634.6555318856497,628.0936,6.56190395596218,1.0339315780429508
8,633.7732665330661,648.4594889881712,640.1605,8.298966527233688,1.2797972222109117
9,638.4765931863727,653.2488666319452,644.6856,8.563258721788998,1.3108723427167805
10,647.883246492986,662.1652653064782,653.7357,8.429547533040704,1.2730277431781554
11,658.8576753507014,671.4966506984797,664.2942,7.202461245354698,1.0725982382581978
12,672.9676553106212,682.0978309824412,677.8694,4.228446216816224,0.6199178511865219
13,685.5098597194389,690.7215282435388,689.9362,0.7853099818200917,0.11369415165284992
14,693.3487374749499,696.0192633041717,697.47797,1.458703004422091,0.2095779644800742
15,694.9165130260521,697.0888692087154,698.9863,1.8974589162845632,0.2721975633377163
16,696.4842885771543,698.1649482844952,700.4947,2.3297416569110965,0.3336950190117179
17,699.6198396793587,700.341797360012,703.5114,3.1696162142067124,0.45258132902459985
18,701.1876152304609,701.4451642388389,705.0198,3.5746111517861436,0.5096066426896066
19,704.3231663326653,703.6881225361873,708.0365,4.348376487250221,0.6179408672663229
20,705.8909418837675,704.8301748317514,709.5448,4.714624972936122,0.6689022606135642
21,707.4587174348698,705.987533745028,711.0531,5.065566840909469,0.7175150549809752
22,709.0264929859719,707.1613507927173,712.5615,5.400172644782742,0.7636408068299023
23,710.5942685370742,708.352740234594,714.0699,5.717145019312284,0.807104242643131
24,715.2975951903808,712.0428635513899,718.5949,6.552046116578822,0.920175800077511
25,718.4331462925852,714.6092898328704,721.61163,7.002343467910805,0.9798841923183619
26,721.5686973947895,717.2689092112836,724.6283,7.359386687153915,1.0260289540845113
27,727.8397995991984,722.8905751227479,730.66174,7.771168041314581,1.0750130529776274
28,732.543126252505,727.3885320936591,735.18677,7.798235484465863,1.0720866690075552
29,745.0853306613226,740.6192466425699,747.25366,6.6344154668050805,0.8957930133304939
30,749.7886573146293,746.0390442741957,751.7897,5.750628577366797,0.7708213962127748
31,781.1441683366734,787.0085879440311,786.1944,0.8141909713748419,0.10345388650736603
32,792.1185971943887,802.2262599832604,798.94214,3.2841213113854337,0.4093759423250445
33,818.7707815631262,836.7897544788449,829.90265,6.887105553063634,0.8230389433189158
34,828.1774348697395,847.3313347896902,840.83044,6.5008904537527314,0.767219408375387
35,829.7452104208417,848.9810774188841,842.65173,6.32934402044657,0.7455223901679137
36,856.3973947895792,872.2539615686112,870.5989,1.655084615486203,0.18974801931650667
37,857.9651703406814,873.3667911301914,871.64813,1.7186588059726091,0.19678545411012904
38,868.9395991983968,880.573996830668,878.99286,1.5811379439492157,0.1795576464487929
39,872.0751503006012,882.4864346484471,881.0914,1.3950650195408798,0.15808345202457721
40,876.7784769539078,885.2778273853206,884.2391,1.0387526782893701,0.11733634867568518
