Sample_ID,Normal_Rainfall_mm,Actual_Rainfall_mm,PSO_Predicted_Rainfall_mm,PSO_Absolute_Error_mm,PSO_Percentage_Error
1,586.74,591.48,601.37225,9.892253417968732,1.6724578038088744
2,589.8755511022044,595.5378573402253,604.1403,8.602462483993463,1.444486253554651
3,600.8499799599199,609.682815923451,613.82837,4.145553217173983,0.6799524455835213
4,603.9855310621242,613.6698642733253,616.59644,2.926571273549712,0.47689669053819345
5,610.2566332665331,621.5136333145285,622.1325,0.6188740096902166,0.09957529111465588
6,614.9599599198397,627.2499738319827,626.28455,0.9654279335452429,0.15391438402894947
7,621.2310621242485,634.6555318856497,631.8206,2.8349142098684297,0.44668549590129725
8,633.7732665330661,648.4594889881712,642.8928,5.566666722546188,0.8584447937113512
9,638.4765931863727,653.2488666319452,647.04486,6.204005792101498,0.9497155079791314
10,647.883246492986,662.1652653064782,655.349,6.816266283040704,1.0293904920980483
11,658.8576753507014,671.4966506984797,665.0371,6.459541323479698,0.9619618082622735
12,672.9676553106212,682.0978309824412,677.4932,4.604605884784974,0.6750653169726186
13,685.5098597194389,690.7215282435388,688.5654,2.1560985560388417,0.312151636785039
14,693.3487374749499,696.0192633041717,695.48553,0.533728636202909,0.07668302651124484
15,694.9165130260521,697.0888692087154,696.86957,0.2193013376216868,0.031459595369901935
16,696.4842885771543,698.1649482844952,698.25354,0.08859175456734647,0.012689229785171945
17,699.6198396793587,700.341797360012,701.0216,0.6798090853004624,0.09706818697142607
18,701.1876152304609,701.4451642388389,702.40564,0.9604754095986436,0.13692808198925815
19,704.3231663326653,703.6881225361873,705.17365,1.4855224833439706,0.21110523764277084
20,705.8909418837675,704.8301748317514,706.5577,1.7275033909048716,0.24509498210930603
21,707.4587174348698,705.987533745028,707.94165,1.9541166455969687,0.27679194776018673
22,709.0264929859719,707.1613507927173,709.3257,2.1643328010327423,0.306059260536023
23,710.5942685370742,708.352740234594,710.7097,2.3569765622810337,0.33274051590461057
24,715.2975951903808,712.0428635513899,714.86176,2.818891819703822,0.3958879393361654
25,718.4331462925852,714.6092898328704,717.6298,3.020531944473305,0.4226829943926048
26,721.5686973947895,717.2689092112836,720.3978,3.128917937153915,0.43622662253610095
27,727.8397995991984,722.8905751227479,725.9339,3.0433238030333314,0.4209937033024079
28,732.543126252505,727.3885320936591,730.086,2.697466441497113,0.3708425858368888
29,745.0853306613226,740.6192466425699,741.15814,0.5388954472738305,0.07276281972373677
30,749.7886573146293,746.0390442741957,745.3102,0.7288636101332031,0.09769778347757894
31,781.1441683366734,787.0085879440311,785.14526,1.8633242721560919,0.23676034806987445
32,792.1185971943887,802.2262599832604,799.7303,2.4959743387291837,0.31113096930799367
33,818.7707815631262,836.7897544788449,835.151,1.638753502282384,0.19583814136240285
34,828.1774348697395,847.3313347896902,846.5432,0.7881218990652314,0.09301224523472218
35,829.7452104208417,848.9810774188841,848.42316,0.5579206806028196,0.06571650363504435
36,856.3973947895792,872.2539615686112,870.57367,1.680292135017453,0.19263794824109626
